state,year,quarter,quarterly_users,prev_quarter_users,qoq_growth_rate,cumulative_users,growth_stage
Punjab,2020,4,356113,1124885.0,-68.34,71268336,STAGNANT
Rajasthan,2020,4,323405,3353468.0,-90.36,228016640,STAGNANT
Sikkim,2020,4,4413,27830.0,-84.14,2031472,STAGNANT
Tamil Nadu,2020,4,417632,3217633.0,-87.02,208096764,STAGNANT
Telangana,2020,4,628903,3810161.0,-83.49,224814920,STAGNANT
Tripura,2020,4,7328,93468.0,-92.16,5689876,STAGNANT
Uttar Pradesh,2020,4,499152,6521651.0,-92.35,378888100,STAGNANT
Uttarakhand,2020,4,65898,546826.0,-87.95,36215420,STAGNANT
West Bengal,2020,4,283758,3792457.0,-92.52,221173212,STAGNANT
Andaman & Nicobar Islands,2020,3,870,7805.0,-88.85,409652,STAGNANT
Andhra Pradesh,2020,3,370327,3635594.0,-89.81,172136560,STAGNANT
Arunachal Pradesh,2020,3,3738,41662.0,-91.03,2130584,STAGNANT
Assam,2020,3,38775,663323.0,-94.15,30267328,STAGNANT
Bihar,2020,3,97683,3138353.0,-96.89,126872856,STAGNANT
Chandigarh,2020,3,28288,79401.0,-64.37,4047304,STAGNANT
Chhattisgarh,2020,3,54717,796390.0,-93.13,40870124,STAGNANT
Dadra & Nagar Haveli & Daman & Diu,2020,3,4852,58073.0,-91.64,2925024,STAGNANT
Delhi,2020,3,485868,2125586.0,-77.14,101046040,STAGNANT
Goa,2020,3,21967,109624.0,-79.96,5190004,STAGNANT
Gujarat,2020,3,425591,2596510.0,-83.61,136481388,STAGNANT
Haryana,2020,3,348330,1914791.0,-81.81,92401856,STAGNANT
Himachal Pradesh,2020,3,32354,375976.0,-91.39,14938104,STAGNANT
Jammu & Kashmir,2020,3,26378,302140.0,-91.27,10122084,STAGNANT
Jharkhand,2020,3,49073,1173662.0,-95.82,48769820,STAGNANT
Karnataka,2020,3,764040,4835717.0,-84.2,224639584,STAGNANT
Kerala,2020,3,315220,1124154.0,-71.96,57557840,STAGNANT
Ladakh,2020,3,1338,15512.0,-91.37,636900,STAGNANT
Lakshadweep,2020,3,91,654.0,-86.09,38412,STAGNANT
Madhya Pradesh,2020,3,181092,3003291.0,-93.97,136360072,STAGNANT
Maharashtra,2020,3,911356,7291300.0,-87.5,345371956,STAGNANT
Manipur,2020,3,5797,101637.0,-94.3,2605732,STAGNANT
Meghalaya,2020,3,2775,32935.0,-91.57,1631064,STAGNANT
Mizoram,2020,3,2096,17662.0,-88.13,681552,STAGNANT
Nagaland,2020,3,3401,39533.0,-91.4,1641816,STAGNANT
Odisha,2020,3,131407,2091828.0,-93.72,87252160,STAGNANT
Puducherry,2020,3,9778,58140.0,-83.18,3086724,STAGNANT
Punjab,2020,3,322529,1025347.0,-68.54,50636864,STAGNANT
Rajasthan,2020,3,302588,3073847.0,-90.16,162698664,STAGNANT
Sikkim,2020,3,4035,25245.0,-84.02,1437300,STAGNANT
Tamil Nadu,2020,3,378323,2891155.0,-86.91,146666420,STAGNANT
Telangana,2020,3,585533,3507179.0,-83.3,161103732,STAGNANT
Tripura,2020,3,7020,83763.0,-91.62,4053436,STAGNANT
Uttar Pradesh,2020,3,463651,5953474.0,-92.21,269891564,STAGNANT
Uttarakhand,2020,3,60386,501134.0,-87.95,25830444,STAGNANT
West Bengal,2020,3,270618,3510266.0,-92.29,158524840,STAGNANT
Andaman & Nicobar Islands,2020,2,792,6803.0,-88.36,244312,STAGNANT
Andhra Pradesh,2020,2,348938,3307542.0,-89.45,109366940,STAGNANT
Arunachal Pradesh,2020,2,3398,35625.0,-90.46,1306400,STAGNANT
Assam,2020,2,36040,576697.0,-93.75,18947284,STAGNANT
Bihar,2020,2,179273,2779954.0,-93.55,79820004,STAGNANT
Chandigarh,2020,2,26562,74599.0,-64.39,2596952,STAGNANT
Chhattisgarh,2020,2,50835,711639.0,-92.86,25672580,STAGNANT
Dadra & Nagar Haveli & Daman & Diu,2020,2,4502,52683.0,-91.45,1853240,STAGNANT
Delhi,2020,2,458450,1998766.0,-77.06,64869344,STAGNANT
Goa,2020,2,20388,100364.0,-79.69,3290156,STAGNANT
Gujarat,2020,2,399962,2375291.0,-83.16,86610000,STAGNANT
Haryana,2020,2,326534,1753322.0,-81.38,58806592,STAGNANT
Himachal Pradesh,2020,2,30105,333918.0,-90.98,9423568,STAGNANT
Jammu & Kashmir,2020,2,24262,262773.0,-90.77,6322808,STAGNANT
Jharkhand,2020,2,46009,1062496.0,-95.67,30849712,STAGNANT
Karnataka,2020,2,721866,4413738.0,-83.65,142689384,STAGNANT
