state,year,quarter,transaction_type,quarterly_total,quarterly_volume,avg_transaction_value,previous_period_amount,qoq_growth_rate
Dadra & Nagar Haveli & Daman & Diu,2020,4,TOTAL,10802044403.31,7271164,1485.6,6999156459.997451,54.33
Chhattisgarh,2020,4,TOTAL,248859897135.79,142118544,1751.07,166106979230.13632,49.82
Haryana,2020,4,TOTAL,639994017466.17,332685756,1923.72,438271801782.92316,46.03
Meghalaya,2020,4,TOTAL,7216970288.8,3016032,2392.87,4948236005.532139,45.85
Odisha,2020,4,TOTAL,713210652058.47,369299800,1931.25,489855775217.1707,45.6
Uttarakhand,2020,4,TOTAL,127170957316.44,70453084,1805.04,88414043872.02614,43.84
Jharkhand,2020,4,TOTAL,291220699320.17,157726532,1846.36,202490463280.05457,43.82
Uttar Pradesh,2020,4,TOTAL,1429715307113.07,712670068,2006.14,994759821692.2513,43.72
Tamil Nadu,2020,4,TOTAL,825892790003.98,444718804,1857.11,575365661994.6564,43.54
Lakshadweep,2020,4,TOTAL,120445271.67,46600,2584.66,85227333.23462734,41.32
Kerala,2020,4,TOTAL,227021026588.05,133152748,1704.97,160656602607.81677,41.31
Maharashtra,2020,4,TOTAL,2488622123329.18,1630484016,1526.31,1761228316049.78,41.3
Andhra Pradesh,2020,4,TOTAL,2619366184133.32,1144474208,2288.71,1868336522339.6335,40.2
Karnataka,2020,4,TOTAL,2632146794260.07,1726147936,1524.87,1882962062786.7268,39.79
Mizoram,2020,4,TOTAL,3946088462.78,1290428,3057.97,2831776702.018402,39.35
Madhya Pradesh,2020,4,TOTAL,1137100559089.49,614610164,1850.12,822806719938.1525,38.2
Nagaland,2020,4,TOTAL,11092339482.25,3391300,3270.82,8038596572.619181,37.99
Bihar,2020,4,TOTAL,955622452545.89,386366692,2473.36,693315460447.2736,37.83
Telangana,2020,4,TOTAL,2785401756907.83,1374575148,2026.37,2023844579023.4797,37.63
Puducherry,2020,4,TOTAL,19722104870.68,10864012,1815.36,14392320917.73841,37.03
Sikkim,2020,4,TOTAL,7677103220.49,2940140,2611.14,5603706914.641596,37.0
Arunachal Pradesh,2020,4,TOTAL,14281056087.38,4836516,2952.76,10439754262.23287,36.79
Tripura,2020,4,TOTAL,12728523984.89,6607560,1926.36,9367278064.863537,35.88
Assam,2020,4,TOTAL,160906445277.06,61693816,2608.15,119325565038.17627,34.85
Punjab,2020,4,TOTAL,215101625918.22,91991700,2338.27,160492368591.25354,34.03
Ladakh,2020,4,TOTAL,4447853882.03,1328536,3347.94,3341950000.232773,33.09
Himachal Pradesh,2020,4,TOTAL,55956212435.25,29089312,1923.6,42064216056.34793,33.03
Gujarat,2020,4,TOTAL,593572240449.76,311314188,1906.67,447687009938.8489,32.59
Rajasthan,2020,4,TOTAL,1544139119346.02,761133740,2028.74,1174713224649.832,31.45
Jammu & Kashmir,2020,4,TOTAL,61523623213.51,23017776,2672.87,47908919043.48989,28.42
West Bengal,2020,4,TOTAL,796661965462.59,401362580,1984.89,627253423420.5643,27.01
Delhi,2020,4,TOTAL,865060352898.17,482161668,1794.13,700655851218.6425,23.46
Manipur,2020,4,TOTAL,22408898233.84,6511408,3441.48,18463904483.482025,21.37
Chandigarh,2020,4,TOTAL,24587051605.4,11650864,2110.32,20359237413.460285,20.77
Andaman & Nicobar Islands,2020,3,TOTAL,1352077785.32,469932,2877.18,678580005.6565883,99.25
Puducherry,2020,3,TOTAL,14392320917.74,6923608,2078.73,7840123921.950365,83.57
Nagaland,2020,3,TOTAL,8038596572.62,2945276,2729.32,4550698017.391203,76.65
Delhi,2020,3,TOTAL,700655851218.64,385967444,1815.32,431493752813.3241,62.38
Ladakh,2020,3,TOTAL,3341950000.23,912888,3660.85,2095171994.6080976,59.51
Telangana,2020,3,TOTAL,2023844579023.48,945488504,2140.53,1286127357409.7236,57.36
West Bengal,2020,3,TOTAL,627253423420.56,319818016,1961.28,400397727509.4214,56.66
Kerala,2020,3,TOTAL,160656602607.82,87034720,1845.89,103576313914.40077,55.11
Mizoram,2020,3,TOTAL,2831776702.02,1018812,2779.49,1828773733.769273,54.85
Andhra Pradesh,2020,3,TOTAL,1868336522339.63,819611740,2279.54,1210334758986.2551,54.37
Goa,2020,3,TOTAL,13473374323.78,7662124,1758.44,8734465720.067087,54.26
Rajasthan,2020,3,TOTAL,1174713224649.83,596354704,1969.82,775053092013.0615,51.57
Assam,2020,3,TOTAL,119325565038.18,49590844,2406.2,79065200503.67778,50.92
Tamil Nadu,2020,3,TOTAL,575365661994.66,281111300,2046.75,383306035587.3142,50.11
Maharashtra,2020,3,TOTAL,1761228316049.78,1073243696,1641.03,1185438068637.6597,48.57
Karnataka,2020,3,TOTAL,1882962062786.73,1201442124,1567.25,1284419508080.5518,46.6
Jammu & Kashmir,2020,3,TOTAL,47908919043.49,13863592,3455.74,33062595757.034195,44.9
Manipur,2020,3,TOTAL,18463904483.48,5680672,3250.3,12795744851.222044,44.3
Arunachal Pradesh,2020,3,TOTAL,10439754262.23,3851308,2710.7,7306867331.939854,42.88
Gujarat,2020,3,TOTAL,447687009938.85,237160716,1887.69,321551385437.9625,39.23
Uttar Pradesh,2020,3,TOTAL,994759821692.25,509621036,1951.96,714976064521.1527,39.13
Madhya Pradesh,2020,3,TOTAL,822806719938.15,434319524,1894.47,591688061156.2498,39.06
Uttarakhand,2020,3,TOTAL,88414043872.03,47275740,1870.18,64376750808.404076,37.34
Haryana,2020,3,TOTAL,438271801782.92,231752716,1891.12,322845059695.76276,35.75
Jharkhand,2020,3,TOTAL,202490463280.05,108273892,1870.17,149944807903.6944,35.04
Bihar,2020,3,TOTAL,693315460447.27,286014992,2424.05,515226094515.37604,34.57
Dadra & Nagar Haveli & Daman & Diu,2020,3,TOTAL,6999156460.0,4553248,1537.18,5209505815.552232,34.35
Odisha,2020,3,TOTAL,489855775217.17,264135316,1854.56,366932146448.38617,33.5
Sikkim,2020,3,TOTAL,5603706914.64,2385740,2348.83,4218475153.045066,32.84
Punjab,2020,3,TOTAL,160492368591.25,68838292,2331.44,121138617008.85458,32.49
Tripura,2020,3,TOTAL,9367278064.86,5271540,1776.95,7076703534.343848,32.37
Chandigarh,2020,3,TOTAL,20359237413.46,8632344,2358.48,15388062918.760302,32.31
Himachal Pradesh,2020,3,TOTAL,42064216056.35,21959504,1915.54,32147619050.175743,30.85
Chhattisgarh,2020,3,TOTAL,166106979230.14,96594156,1719.64,129073528827.60542,28.69
Lakshadweep,2020,3,TOTAL,85227333.23,34356,2480.71,67771688.3437776,25.76
Meghalaya,2020,3,TOTAL,4948236005.53,2390316,2070.12,4614940617.353587,7.22
Jammu & Kashmir,2020,2,TOTAL,33062595757.03,10540024,3136.86,11750572706.136068,181.37
Ladakh,2020,2,TOTAL,2095171994.61,620040,3379.09,1510558709.782974,38.7
Arunachal Pradesh,2020,2,TOTAL,7306867331.94,3235096,2258.62,5527034725.320587,32.2
