state,year,quarter,insurance_type,quarterly_policies,quarterly_premium,avg_premium_per_policy,prev_quarter_policies,qoq_growth_rate
Lakshadweep,2022,1,TOTAL,27,34664.0,1283.85,11.0,145.45
Madhya Pradesh,2022,1,TOTAL,13791,19901462.0,1443.08,15069.0,-8.48
Maharashtra,2022,1,TOTAL,88015,117411928.0,1334.0,82423.0,6.78
Manipur,2022,1,TOTAL,177,517854.0,2925.73,145.0,22.07
Meghalaya,2022,1,TOTAL,337,729211.0,2163.83,263.0,28.14
Mizoram,2022,1,TOTAL,85,189428.0,2228.56,100.0,-15.0
Nagaland,2022,1,TOTAL,242,529223.0,2186.87,183.0,32.24
Odisha,2022,1,TOTAL,9627,14539309.0,1510.26,9093.0,5.87
Puducherry,2022,1,TOTAL,1199,1663404.0,1387.33,786.0,52.54
Punjab,2022,1,TOTAL,7475,13155682.0,1759.96,6638.0,12.61
Rajasthan,2022,1,TOTAL,21517,31576932.0,1467.53,19375.0,11.06
Sikkim,2022,1,TOTAL,239,685987.0,2870.24,195.0,22.56
Tamil Nadu,2022,1,TOTAL,47621,64969045.0,1364.29,33037.0,44.14
Telangana,2022,1,TOTAL,36325,51942016.0,1429.92,34848.0,4.24
Tripura,2022,1,TOTAL,907,1493401.0,1646.53,702.0,29.2
Uttar Pradesh,2022,1,TOTAL,45996,73014969.0,1587.42,44132.0,4.22
Uttarakhand,2022,1,TOTAL,5339,8824948.0,1652.92,5529.0,-3.44
West Bengal,2022,1,TOTAL,38779,51160527.0,1319.28,26320.0,47.34
Andaman & Nicobar Islands,2021,4,TOTAL,757,1056380.0,1395.48,230.0,229.13
Andhra Pradesh,2021,4,TOTAL,25423,31610335.0,1243.38,23075.0,10.18
Arunachal Pradesh,2021,4,TOTAL,320,598459.0,1870.18,212.0,50.94
Assam,2021,4,TOTAL,8622,13962068.0,1619.35,4495.0,91.81
Bihar,2021,4,TOTAL,22456,27313813.0,1216.33,18030.0,24.55
Chandigarh,2021,4,TOTAL,710,835813.0,1177.2,494.0,43.72
Chhattisgarh,2021,4,TOTAL,6029,8229039.0,1364.91,4676.0,28.93
Dadra & Nagar Haveli & Daman & Diu,2021,4,TOTAL,421,425384.0,1010.41,360.0,16.94
Delhi,2021,4,TOTAL,34251,36578331.0,1067.95,16679.0,105.35
Goa,2021,4,TOTAL,2087,2737316.0,1311.6,1214.0,71.91
Gujarat,2021,4,TOTAL,19142,23282921.0,1216.33,15348.0,24.72
Haryana,2021,4,TOTAL,19489,25885838.0,1328.23,14163.0,37.61
Himachal Pradesh,2021,4,TOTAL,2474,4667661.0,1886.69,1759.0,40.65
Jammu & Kashmir,2021,4,TOTAL,3113,5223317.0,1677.9,1452.0,114.39
Jharkhand,2021,4,TOTAL,8465,11190423.0,1321.96,6794.0,24.6
Karnataka,2021,4,TOTAL,74436,90723288.0,1218.81,47468.0,56.81
Kerala,2021,4,TOTAL,19199,31260319.0,1628.23,10926.0,75.72
Ladakh,2021,4,TOTAL,76,195966.0,2578.5,192.0,-60.42
Lakshadweep,2021,4,TOTAL,11,17096.0,1554.18,19.0,-42.11
Madhya Pradesh,2021,4,TOTAL,15069,17524432.0,1162.95,11990.0,25.68
Maharashtra,2021,4,TOTAL,82423,93262227.0,1131.51,52268.0,57.69
Manipur,2021,4,TOTAL,145,271789.0,1874.41,111.0,30.63
Meghalaya,2021,4,TOTAL,263,451612.0,1717.16,139.0,89.21
Mizoram,2021,4,TOTAL,100,175847.0,1758.47,81.0,23.46
Nagaland,2021,4,TOTAL,183,341424.0,1865.7,91.0,101.1
Odisha,2021,4,TOTAL,9093,10941626.0,1203.3,7967.0,14.13
Puducherry,2021,4,TOTAL,786,946607.0,1204.33,561.0,40.11
