state,year,quarter,registered_users,prev_quarter_users,qoq_user_growth_pct
Dadra & Nagar Haveli & Daman & Diu,2021,1,5784,68314.0,-91.53
Delhi,2021,1,555462,2416705.0,-77.02
Goa,2021,1,26139,132099.0,-80.21
Gujarat,2021,1,489078,2998305.0,-83.69
Haryana,2021,1,401563,2236661.0,-82.05
Himachal Pradesh,2021,1,37856,448361.0,-91.56
Jammu & Kashmir,2021,1,32281,383539.0,-91.58
Jharkhand,2021,1,56181,1396020.0,-95.98
Karnataka,2021,1,874661,5759174.0,-84.81
Kerala,2021,1,398950,1466789.0,-72.8
Ladakh,2021,1,1613,18866.0,-91.45
Lakshadweep,2021,1,106,838.0,-87.35
Madhya Pradesh,2021,1,210736,3563397.0,-94.09
Maharashtra,2021,1,1054581,8584570.0,-87.72
Manipur,2021,1,7077,137767.0,-94.86
Meghalaya,2021,1,3344,41993.0,-92.04
Mizoram,2021,1,2669,24925.0,-89.29
Nagaland,2021,1,4121,60222.0,-93.16
Odisha,2021,1,145607,2445630.0,-94.05
Puducherry,2021,1,11809,71555.0,-83.5
Punjab,2021,1,384485,1219022.0,-68.46
Rajasthan,2021,1,347215,3613815.0,-90.39
Sikkim,2021,1,4803,30296.0,-84.15
Tamil Nadu,2021,1,449432,3595631.0,-87.5
Telangana,2021,1,674068,4150153.0,-83.76
Tripura,2021,1,8143,101066.0,-91.94
Uttar Pradesh,2021,1,536023,7082855.0,-92.43
Uttarakhand,2021,1,71103,594817.0,-88.05
West Bengal,2021,1,303793,4070350.0,-92.54
Andaman & Nicobar Islands,2020,4,973,9794.0,-90.07
Andhra Pradesh,2020,4,394191,3978789.0,-90.09
Arunachal Pradesh,2020,4,4188,47870.0,-91.25
Assam,2020,4,40998,729048.0,-94.38
Bihar,2020,4,105494,3459128.0,-96.95
Chandigarh,2020,4,30593,84467.0,-63.78
Chhattisgarh,2020,4,59187,879885.0,-93.27
Dadra & Nagar Haveli & Daman & Diu,2020,4,5335,62612.0,-91.48
Delhi,2020,4,518592,2264717.0,-77.1
Goa,2020,4,24214,119983.0,-79.82
Gujarat,2020,4,456563,2792901.0,-83.65
Haryana,2020,4,374080,2075024.0,-81.97
Himachal Pradesh,2020,4,35276,412600.0,-91.45
Jammu & Kashmir,2020,4,29701,337986.0,-91.21
Jharkhand,2020,4,52483,1282150.0,-95.91
Karnataka,2020,4,817087,5287266.0,-84.55
Kerala,2020,4,364712,1299988.0,-71.94
Ladakh,2020,4,1484,17122.0,-91.33
Lakshadweep,2020,4,101,736.0,-86.28
Madhya Pradesh,2020,4,195195,3292397.0,-94.07
Maharashtra,2020,4,983306,7895486.0,-87.55
Manipur,2020,4,6525,123688.0,-94.72
Meghalaya,2020,4,3096,37816.0,-91.81
Mizoram,2020,4,2443,21725.0,-88.75
Nagaland,2020,4,3816,54400.0,-92.99
Odisha,2020,4,139630,2262871.0,-93.83
Puducherry,2020,4,10885,64189.0,-83.04
Punjab,2020,4,356113,1124885.0,-68.34
Rajasthan,2020,4,323405,3353468.0,-90.36
Sikkim,2020,4,4413,27830.0,-84.14
Tamil Nadu,2020,4,417632,3217633.0,-87.02
Telangana,2020,4,628903,3810161.0,-83.49
Tripura,2020,4,7328,93468.0,-92.16
Uttar Pradesh,2020,4,499152,6521651.0,-92.35
Uttarakhand,2020,4,65898,546826.0,-87.95
West Bengal,2020,4,283758,3792457.0,-92.52
Andaman & Nicobar Islands,2020,3,870,7805.0,-88.85
Andhra Pradesh,2020,3,370327,3635594.0,-89.81
Arunachal Pradesh,2020,3,3738,41662.0,-91.03
Assam,2020,3,38775,663323.0,-94.15
Bihar,2020,3,97683,3138353.0,-96.89
Chandigarh,2020,3,28288,79401.0,-64.37
Chhattisgarh,2020,3,54717,796390.0,-93.13
Dadra & Nagar Haveli & Daman & Diu,2020,3,4852,58073.0,-91.64
Delhi,2020,3,485868,2125586.0,-77.14
Goa,2020,3,21967,109624.0,-79.96
Gujarat,2020,3,425591,2596510.0,-83.61
Haryana,2020,3,348330,1914791.0,-81.81
Himachal Pradesh,2020,3,32354,375976.0,-91.39
Jammu & Kashmir,2020,3,26378,302140.0,-91.27
Jharkhand,2020,3,49073,1173662.0,-95.82
Karnataka,2020,3,764040,4835717.0,-84.2
Kerala,2020,3,315220,1124154.0,-71.96
Ladakh,2020,3,1338,15512.0,-91.37
Lakshadweep,2020,3,91,654.0,-86.09
Madhya Pradesh,2020,3,181092,3003291.0,-93.97
Maharashtra,2020,3,911356,7291300.0,-87.5
Manipur,2020,3,5797,101637.0,-94.3
Meghalaya,2020,3,2775,32935.0,-91.57
Mizoram,2020,3,2096,17662.0,-88.13
Nagaland,2020,3,3401,39533.0,-91.4
Odisha,2020,3,131407,2091828.0,-93.72
Puducherry,2020,3,9778,58140.0,-83.18
Punjab,2020,3,322529,1025347.0,-68.54
Rajasthan,2020,3,302588,3073847.0,-90.16
Sikkim,2020,3,4035,25245.0,-84.02
Tamil Nadu,2020,3,378323,2891155.0,-86.91
Telangana,2020,3,585533,3507179.0,-83.3
Tripura,2020,3,7020,83763.0,-91.62
Uttar Pradesh,2020,3,463651,5953474.0,-92.21
Uttarakhand,2020,3,60386,501134.0,-87.95
West Bengal,2020,3,270618,3510266.0,-92.29
Andaman & Nicobar Islands,2020,2,792,6803.0,-88.36
Andhra Pradesh,2020,2,348938,3307542.0,-89.45
Arunachal Pradesh,2020,2,3398,35625.0,-90.46
Assam,2020,2,36040,576697.0,-93.75
Bihar,2020,2,179273,2779954.0,-93.55
Chandigarh,2020,2,26562,74599.0,-64.39
Chhattisgarh,2020,2,50835,711639.0,-92.86
Dadra & Nagar Haveli & Daman & Diu,2020,2,4502,52683.0,-91.45
Delhi,2020,2,458450,1998766.0,-77.06
Goa,2020,2,20388,100364.0,-79.69
Gujarat,2020,2,399962,2375291.0,-83.16
Haryana,2020,2,326534,1753322.0,-81.38
Himachal Pradesh,2020,2,30105,333918.0,-90.98
Jammu & Kashmir,2020,2,24262,262773.0,-90.77
Jharkhand,2020,2,46009,1062496.0,-95.67
Karnataka,2020,2,721866,4413738.0,-83.65
Kerala,2020,2,274565,990472.0,-72.28
Ladakh,2020,2,1234,13890.0,-91.12
Lakshadweep,2020,2,85,560.0,-84.82
Madhya Pradesh,2020,2,170312,2697286.0,-93.69
Maharashtra,2020,2,858658,6677147.0,-87.14
Manipur,2020,2,5110,82065.0,-93.77
Meghalaya,2020,2,2489,27877.0,-91.07
Mizoram,2020,2,1766,14848.0,-88.11
Nagaland,2020,2,2738,32305.0,-91.52
Odisha,2020,2,123415,1927219.0,-93.6
Puducherry,2020,2,9093,52862.0,-82.8
Punjab,2020,2,293955,912905.0,-67.8
Rajasthan,2020,2,283321,2776323.0,-89.8
Sikkim,2020,2,3701,22619.0,-83.64
Tamil Nadu,2020,2,352063,2602334.0,-86.47
Telangana,2020,2,550940,3226261.0,-82.92
Tripura,2020,2,6561,75081.0,-91.26
Uttar Pradesh,2020,2,435004,5356063.0,-91.88
Uttarakhand,2020,2,56193,456579.0,-87.69
West Bengal,2020,2,255405,3213394.0,-92.05
Andaman & Nicobar Islands,2020,1,735,6803.0,-88.36
Andhra Pradesh,2020,1,329329,3307542.0,-89.45
Arunachal Pradesh,2020,1,3135,35625.0,-90.46
Assam,2020,1,32099,576697.0,-93.75
Bihar,2020,1,161040,2779954.0,-93.55
Chandigarh,2020,1,25309,74599.0,-64.39
Chhattisgarh,2020,1,47890,711639.0,-92.86
Dadra & Nagar Haveli & Daman & Diu,2020,1,4178,52683.0,-91.45
Delhi,2020,1,436979,1998766.0,-77.06
Goa,2020,1,19244,100364.0,-79.69
Gujarat,2020,1,377075,2375291.0,-83.16
Haryana,2020,1,308315,1753322.0,-81.38
Himachal Pradesh,2020,1,28072,333918.0,-90.98
Jammu & Kashmir,2020,1,22380,262773.0,-90.77
Jharkhand,2020,1,43622,1062496.0,-95.67
Karnataka,2020,1,688203,4413738.0,-83.65
Kerala,2020,1,248003,990472.0,-72.28
Ladakh,2020,1,1130,13890.0,-91.12
Lakshadweep,2020,1,81,560.0,-84.82
Madhya Pradesh,2020,1,160868,2697286.0,-93.69
Maharashtra,2020,1,815679,6677147.0,-87.14
Manipur,2020,1,4598,82065.0,-93.77
Meghalaya,2020,1,2309,27877.0,-91.07
Mizoram,2020,1,1617,14848.0,-88.11
Nagaland,2020,1,2480,32305.0,-91.52
Odisha,2020,1,115095,1927219.0,-93.6
Puducherry,2020,1,8570,52862.0,-82.8
Punjab,2020,1,267276,912905.0,-67.8
Rajasthan,2020,1,267588,2776323.0,-89.8
Sikkim,2020,1,3439,22619.0,-83.64
Tamil Nadu,2020,1,333073,2602334.0,-86.47
Telangana,2020,1,522627,3226261.0,-82.92
Tripura,2020,1,6050,75081.0,-91.26
Uttar Pradesh,2020,1,410932,5356063.0,-91.88
Uttarakhand,2020,1,52810,456579.0,-87.69
West Bengal,2020,1,237380,3213394.0,-92.05
