year,quarter,entity_type,entity_name,rank,type,count,amount,state
2021,3,district,Kolkata,8,TOTAL,4808,3468389.0,
2021,3,district,Gurugram,9,TOTAL,4501,3651728.0,
2021,3,district,Chennai,10,TOTAL,4367,3861435.0,
2021,3,pincode,712138,1,TOTAL,1350,480755.0,
2021,3,pincode,421301,2,TOTAL,1176,670772.0,
2021,3,pincode,560068,3,TOTAL,1126,984821.0,
2021,3,pincode,421302,4,TOTAL,1001,736789.0,
2021,3,pincode,122001,5,TOTAL,866,704138.0,
2021,3,pincode,201301,6,TOTAL,846,600065.0,
2021,3,pincode,560058,7,TOTAL,841,725815.0,
2021,3,pincode,122006,8,TOTAL,806,481888.0,
2021,3,pincode,500072,9,TOTAL,803,638626.0,
2021,3,pincode,560043,10,TOTAL,800,743863.0,
2021,4,state,Maharashtra,1,TOTAL,82423,93262227.0,
2021,4,state,Karnataka,2,TOTAL,74436,90723288.0,
2021,4,state,Uttar Pradesh,3,TOTAL,44132,59654951.0,
2021,4,state,Telangana,4,TOTAL,34848,38845492.0,
2021,4,state,Delhi,5,TOTAL,34251,36578331.0,
2021,4,state,Tamil Nadu,6,TOTAL,33037,42184290.0,
2021,4,state,West Bengal,7,TOTAL,26320,31282871.0,
2021,4,state,Andhra Pradesh,8,TOTAL,25423,31610335.0,
2021,4,state,Bihar,9,TOTAL,22456,27313813.0,
2021,4,state,Haryana,10,TOTAL,19489,25885838.0,
2021,4,district,Bengaluru Urban,1,TOTAL,44650,50064816.0,
2021,4,district,Pune,2,TOTAL,16039,18693479.0,
2021,4,district,Thane,3,TOTAL,13362,13856390.0,
2021,4,district,Mumbai Suburban,4,TOTAL,9319,9168680.0,
2021,4,district,Hyderabad,5,TOTAL,7016,7001072.0,
2021,4,district,Rangareddy,6,TOTAL,6835,7932450.0,
2021,4,district,Medchal Malkajgiri,7,TOTAL,6553,7341035.0,
2021,4,district,Gurugram,8,TOTAL,5951,6492219.0,
2021,4,district,Chennai,9,TOTAL,5769,6143037.0,
2021,4,district,Jaipur,10,TOTAL,5571,6278712.0,
2021,4,pincode,560068,1,TOTAL,1839,1905289.0,
2021,4,pincode,110059,2,TOTAL,1509,1603319.0,
2021,4,pincode,421301,3,TOTAL,1473,1157196.0,
2021,4,pincode,421302,4,TOTAL,1471,1338786.0,
2021,4,pincode,560078,5,TOTAL,1372,1472700.0,
2021,4,pincode,560076,6,TOTAL,1308,1508537.0,
2021,4,pincode,560043,7,TOTAL,1285,1483440.0,
2021,4,pincode,560058,8,TOTAL,1237,1231686.0,
