year,quarter,level,region,category,type,count,amount
2024,4,state,Himachal Pradesh,Insurance,TOTAL,6697,14090523.0
2020,2,state,Jammu & Kashmir,Insurance,TOTAL,206,48484.0
2020,3,state,Jammu & Kashmir,Insurance,TOTAL,441,133339.0
2020,4,state,Jammu & Kashmir,Insurance,TOTAL,647,734861.0
2021,1,state,Jammu & Kashmir,Insurance,TOTAL,1105,1546288.0
2021,2,state,Jammu & Kashmir,Insurance,TOTAL,1197,1832089.0
2021,3,state,Jammu & Kashmir,Insurance,TOTAL,1452,2139133.0
2021,4,state,Jammu & Kashmir,Insurance,TOTAL,3113,5223317.0
2022,1,state,Jammu & Kashmir,Insurance,TOTAL,3584,7244267.0
2022,2,state,Jammu & Kashmir,Insurance,TOTAL,4071,7729792.0
2022,3,state,Jammu & Kashmir,Insurance,TOTAL,4794,8281826.0
2022,4,state,Jammu & Kashmir,Insurance,TOTAL,5031,10111183.0
2023,1,state,Jammu & Kashmir,Insurance,TOTAL,4555,10275877.0
2023,2,state,Jammu & Kashmir,Insurance,TOTAL,5262,10974839.0
2023,3,state,Jammu & Kashmir,Insurance,TOTAL,5453,10975874.0
2023,4,state,Jammu & Kashmir,Insurance,TOTAL,6264,13932309.0
2024,1,state,Jammu & Kashmir,Insurance,TOTAL,7313,14695182.0
2024,2,state,Jammu & Kashmir,Insurance,TOTAL,7397,14237707.0
2024,3,state,Jammu & Kashmir,Insurance,TOTAL,7597,15554635.0
2024,4,state,Jammu & Kashmir,Insurance,TOTAL,8893,18252110.0
2020,2,state,Jharkhand,Insurance,TOTAL,2063,405031.0
2020,3,state,Jharkhand,Insurance,TOTAL,5368,1349934.0
2020,4,state,Jharkhand,Insurance,TOTAL,3659,2857024.0
2021,1,state,Jharkhand,Insurance,TOTAL,4879,3274851.0
2021,2,state,Jharkhand,Insurance,TOTAL,5180,5084230.0
2021,3,state,Jharkhand,Insurance,TOTAL,6794,7046048.0
2021,4,state,Jharkhand,Insurance,TOTAL,8465,11190423.0
2022,1,state,Jharkhand,Insurance,TOTAL,9373,13819466.0
2022,2,state,Jharkhand,Insurance,TOTAL,9477,13464840.0
2022,3,state,Jharkhand,Insurance,TOTAL,14388,18156857.0
2022,4,state,Jharkhand,Insurance,TOTAL,16779,23147805.0
2023,1,state,Jharkhand,Insurance,TOTAL,16108,23823406.0
2023,2,state,Jharkhand,Insurance,TOTAL,16662,23216215.0
2023,3,state,Jharkhand,Insurance,TOTAL,19478,25165702.0
2023,4,state,Jharkhand,Insurance,TOTAL,22398,33484644.0
2024,1,state,Jharkhand,Insurance,TOTAL,24824,34332990.0
2024,2,state,Jharkhand,Insurance,TOTAL,22224,32245129.0
2024,3,state,Jharkhand,Insurance,TOTAL,23629,34353146.0
2024,4,state,Jharkhand,Insurance,TOTAL,29079,42253614.0
2020,2,state,Karnataka,Insurance,TOTAL,27358,4794150.0
2020,3,state,Karnataka,Insurance,TOTAL,53701,12407394.0
2020,4,state,Karnataka,Insurance,TOTAL,31747,26814968.0
2021,1,state,Karnataka,Insurance,TOTAL,37595,30183325.0
2021,2,state,Karnataka,Insurance,TOTAL,40969,39501006.0
2021,3,state,Karnataka,Insurance,TOTAL,47468,48078366.0
2021,4,state,Karnataka,Insurance,TOTAL,74436,90723288.0
2022,1,state,Karnataka,Insurance,TOTAL,95640,130733580.0
2022,2,state,Karnataka,Insurance,TOTAL,93385,123228632.0
2022,3,state,Karnataka,Insurance,TOTAL,110273,144605784.0
2022,4,state,Karnataka,Insurance,TOTAL,133971,185063287.0
2023,1,state,Karnataka,Insurance,TOTAL,127376,186543426.0
2023,2,state,Karnataka,Insurance,TOTAL,117232,175704013.0
2023,3,state,Karnataka,Insurance,TOTAL,139699,199448538.0
2023,4,state,Karnataka,Insurance,TOTAL,156076,248056311.0
2024,1,state,Karnataka,Insurance,TOTAL,169357,264708700.0
2024,2,state,Karnataka,Insurance,TOTAL,142599,239304982.0
2024,3,state,Karnataka,Insurance,TOTAL,174990,287393291.0
2024,4,state,Karnataka,Insurance,TOTAL,183532,305861806.0
2020,2,state,Kerala,Insurance,TOTAL,1588,360216.0
2020,3,state,Kerala,Insurance,TOTAL,8811,2830361.0
2020,4,state,Kerala,Insurance,TOTAL,5479,4445525.0
2021,1,state,Kerala,Insurance,TOTAL,5731,5040506.0
2021,2,state,Kerala,Insurance,TOTAL,9530,9676588.0
2021,3,state,Kerala,Insurance,TOTAL,10926,13255646.0
2021,4,state,Kerala,Insurance,TOTAL,19199,31260319.0
2022,1,state,Kerala,Insurance,TOTAL,37110,64172190.0
2022,2,state,Kerala,Insurance,TOTAL,35667,59920203.0
2022,3,state,Kerala,Insurance,TOTAL,54587,85390924.0
2022,4,state,Kerala,Insurance,TOTAL,65563,103982997.0
2023,1,state,Kerala,Insurance,TOTAL,62377,101786828.0
2023,2,state,Kerala,Insurance,TOTAL,61032,100620604.0
2023,3,state,Kerala,Insurance,TOTAL,66059,110021582.0
2023,4,state,Kerala,Insurance,TOTAL,73543,121905046.0
2024,1,state,Kerala,Insurance,TOTAL,73106,115101791.0
2024,2,state,Kerala,Insurance,TOTAL,65271,108142369.0
2024,3,state,Kerala,Insurance,TOTAL,79123,131721699.0
2024,4,state,Kerala,Insurance,TOTAL,89533,144083113.0
2020,2,state,Ladakh,Insurance,TOTAL,14,2538.0
2020,3,state,Ladakh,Insurance,TOTAL,33,10260.0
2020,4,state,Ladakh,Insurance,TOTAL,27,34206.0
2021,1,state,Ladakh,Insurance,TOTAL,32,34530.0
2021,2,state,Ladakh,Insurance,TOTAL,46,86251.0
2021,3,state,Ladakh,Insurance,TOTAL,192,174052.0
2021,4,state,Ladakh,Insurance,TOTAL,76,195966.0
2022,1,state,Ladakh,Insurance,TOTAL,75,193935.0
2022,2,state,Ladakh,Insurance,TOTAL,113,269446.0
2022,3,state,Ladakh,Insurance,TOTAL,137,369742.0
2022,4,state,Ladakh,Insurance,TOTAL,162,410091.0
2023,1,state,Ladakh,Insurance,TOTAL,161,495736.0
2023,2,state,Ladakh,Insurance,TOTAL,215,635831.0
2023,3,state,Ladakh,Insurance,TOTAL,232,649027.0
2023,4,state,Ladakh,Insurance,TOTAL,242,718967.0
2024,1,state,Ladakh,Insurance,TOTAL,291,614435.0
2024,2,state,Ladakh,Insurance,TOTAL,415,964349.0
2024,3,state,Ladakh,Insurance,TOTAL,446,978637.0
2024,4,state,Ladakh,Insurance,TOTAL,429,970334.0
2020,3,state,Lakshadweep,Insurance,TOTAL,4,1199.0
2021,1,state,Lakshadweep,Insurance,TOTAL,4,5225.0
2021,2,state,Lakshadweep,Insurance,TOTAL,5,6962.0
2021,3,state,Lakshadweep,Insurance,TOTAL,19,16034.0
2021,4,state,Lakshadweep,Insurance,TOTAL,11,17096.0
2022,1,state,Lakshadweep,Insurance,TOTAL,27,34664.0
2022,2,state,Lakshadweep,Insurance,TOTAL,18,27463.0
2022,3,state,Lakshadweep,Insurance,TOTAL,38,41504.0
2022,4,state,Lakshadweep,Insurance,TOTAL,15,27135.0
2023,1,state,Lakshadweep,Insurance,TOTAL,26,30199.0
2023,2,state,Lakshadweep,Insurance,TOTAL,15,38384.0
2023,3,state,Lakshadweep,Insurance,TOTAL,12,12407.0
2023,4,state,Lakshadweep,Insurance,TOTAL,53,78346.0
2024,1,state,Lakshadweep,Insurance,TOTAL,15,12935.0
2024,2,state,Lakshadweep,Insurance,TOTAL,26,33630.0
2024,3,state,Lakshadweep,Insurance,TOTAL,49,55312.0
2024,4,state,Lakshadweep,Insurance,TOTAL,159,185542.0
2020,2,state,Madhya Pradesh,Insurance,TOTAL,6283,1198701.0
2020,3,state,Madhya Pradesh,Insurance,TOTAL,14476,3496126.0
2020,4,state,Madhya Pradesh,Insurance,TOTAL,10653,4897124.0
2021,1,state,Madhya Pradesh,Insurance,TOTAL,14427,5567927.0
2021,2,state,Madhya Pradesh,Insurance,TOTAL,14803,9787391.0
2021,3,state,Madhya Pradesh,Insurance,TOTAL,11990,7806258.0
2021,4,state,Madhya Pradesh,Insurance,TOTAL,15069,17524432.0
2022,1,state,Madhya Pradesh,Insurance,TOTAL,13791,19901462.0
2022,2,state,Madhya Pradesh,Insurance,TOTAL,14629,20159098.0
2022,3,state,Madhya Pradesh,Insurance,TOTAL,22733,29185118.0
2022,4,state,Madhya Pradesh,Insurance,TOTAL,29234,42712883.0
2023,1,state,Madhya Pradesh,Insurance,TOTAL,26393,45135679.0
2023,2,state,Madhya Pradesh,Insurance,TOTAL,27027,44871764.0
2023,3,state,Madhya Pradesh,Insurance,TOTAL,29300,46963348.0
2023,4,state,Madhya Pradesh,Insurance,TOTAL,40784,73801070.0
2024,1,state,Madhya Pradesh,Insurance,TOTAL,51223,85215982.0
2024,2,state,Madhya Pradesh,Insurance,TOTAL,41429,73836667.0
2024,3,state,Madhya Pradesh,Insurance,TOTAL,43248,77995668.0
2024,4,state,Madhya Pradesh,Insurance,TOTAL,59688,101096769.0
2020,2,state,Maharashtra,Insurance,TOTAL,39836,6879717.0
2020,3,state,Maharashtra,Insurance,TOTAL,71662,19230156.0
2020,4,state,Maharashtra,Insurance,TOTAL,44798,27113814.0
2021,1,state,Maharashtra,Insurance,TOTAL,55792,33137753.0
2021,2,state,Maharashtra,Insurance,TOTAL,70381,46763103.0
2021,3,state,Maharashtra,Insurance,TOTAL,52268,41313307.0
