year,quarter,level,region,type,count,amount
2021,3,state,Jammu & Kashmir,TOTAL,13151041,31598443648.03224
2021,3,state,Goa,TOTAL,6467763,10478425592.936367
2021,3,state,Arunachal Pradesh,TOTAL,1906967,5678124175.298816
2021,3,state,Delhi,TOTAL,238760608,383858316548.281
2021,3,state,Uttarakhand,TOTAL,31042284,50527496783.56469
2021,4,state,Puducherry,TOTAL,6368810,10423651801.230518
2021,4,state,Tamil Nadu,TOTAL,259155976,443723952594.79407
2021,4,state,Uttar Pradesh,TOTAL,406157932,773890970072.1896
2021,4,state,Madhya Pradesh,TOTAL,404308084,656887492404.479
2021,4,state,Andhra Pradesh,TOTAL,522254003,1156264447083.9226
2021,4,state,Tripura,TOTAL,2520693,5496929464.299448
2021,4,state,Lakshadweep,TOTAL,15470,50998185.528381005
2021,4,state,Manipur,TOTAL,4687439,12658472038.211857
2021,4,state,Maharashtra,TOTAL,1010731502,1475358473128.29
2021,4,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,4157085,5565839386.3306675
2021,4,state,Meghalaya,TOTAL,1440193,3848765400.1861496
2021,4,state,Andaman & Nicobar Islands,TOTAL,636123,1932610101.3236554
2021,4,state,Haryana,TOTAL,169686975,309240599300.4638
2021,4,state,Rajasthan,TOTAL,487621597,903934418544.2667
2021,4,state,Ladakh,TOTAL,630187,2153535138.7802677
2021,4,state,Punjab,TOTAL,52359360,110710126241.99957
2021,4,state,Assam,TOTAL,46020361,104184967893.21591
2021,4,state,Jharkhand,TOTAL,96009042,166017119003.7058
2021,4,state,Odisha,TOTAL,233925366,385251049689.91846
2021,4,state,Bihar,TOTAL,245126945,519371614068.7477
2021,4,state,Kerala,TOTAL,81823741,123342136943.36395
2021,4,state,Karnataka,TOTAL,931725438,1375471324349.8777
2021,4,state,Chandigarh,TOTAL,7898903,14373583510.61845
2021,4,state,Telangana,TOTAL,775989773,1463758189500.9146
2021,4,state,Himachal Pradesh,TOTAL,14666864,26136220500.625923
2021,4,state,West Bengal,TOTAL,225029560,462218037262.097
2021,4,state,Gujarat,TOTAL,182987325,342382580053.62726
2021,4,state,Sikkim,TOTAL,1584345,4196783261.6358047
2021,4,state,Nagaland,TOTAL,1631483,4939083784.136465
2021,4,state,Mizoram,TOTAL,553329,1770665741.5230405
2021,4,state,Chhattisgarh,TOTAL,84717494,136399110518.81381
2021,4,state,Jammu & Kashmir,TOTAL,16790628,38926237425.771454
2021,4,state,Goa,TOTAL,11088759,18627257115.86965
2021,4,state,Arunachal Pradesh,TOTAL,2390598,6943510352.611343
2021,4,state,Delhi,TOTAL,292683359,488695314062.3906
2021,4,state,Uttarakhand,TOTAL,40361280,66148108159.422195
2022,1,state,Puducherry,TOTAL,7359176,12083474905.386654
2022,1,state,Tamil Nadu,TOTAL,294573150,512789201600.61597
