year,quarter,entity_type,entity_name,rank,type,count,amount,state
2021,4,state,Telangana,3,TOTAL,775989773,1463758189500.9146,
2021,4,state,Andhra Pradesh,4,TOTAL,522254003,1156264447083.9229,
2021,4,state,Rajasthan,5,TOTAL,487621597,903934418544.2667,
2021,4,state,Uttar Pradesh,6,TOTAL,406157932,773890970072.1895,
2021,4,state,Madhya Pradesh,7,TOTAL,404308084,656887492404.4789,
2021,4,state,Delhi,8,TOTAL,292683359,488695314062.3906,
2021,4,state,Tamil Nadu,9,TOTAL,259155976,443723952594.79407,
2021,4,state,Bihar,10,TOTAL,245126945,519371614068.7477,
2021,4,district,Bengaluru Urban,1,TOTAL,584958847,755926042210.8081,
2021,4,district,Pune,2,TOTAL,371337618,454584743765.05554,
2021,4,district,Hyderabad,3,TOTAL,325636475,582079170534.0186,
2021,4,district,Jaipur,4,TOTAL,231804892,394435778364.0141,
2021,4,district,Bhopal,5,TOTAL,134176541,190196223229.17587,
2021,4,district,Rangareddy,6,TOTAL,111354739,188838966046.13513,
2021,4,district,Central Delhi,7,TOTAL,111134916,177625511230.04297,
2021,4,district,Medchal Malkajgiri,8,TOTAL,98780634,164568262330.06238,
2021,4,district,Khordha,9,TOTAL,94505879,135122128258.68542,
2021,4,district,Mumbai Suburban,10,TOTAL,92733033,134616103622.6073,
2021,4,pincode,500001,1,TOTAL,213053128,398798138080.5086,
2021,4,pincode,560001,2,TOTAL,206723470,283864051273.69073,
2021,4,pincode,411004,3,TOTAL,185423020,259406175394.85846,
2021,4,pincode,302016,4,TOTAL,130544931,225546213678.03116,
2021,4,pincode,462008,5,TOTAL,97987017,145639258182.99155,
2021,4,pincode,110006,6,TOTAL,96850347,152021116180.99402,
2021,4,pincode,800001,7,TOTAL,61784983,113485175570.40105,
2021,4,pincode,444510,8,TOTAL,55162139,103212697006.96257,
2021,4,pincode,600003,9,TOTAL,54054310,83084090738.55415,
2021,4,pincode,751001,10,TOTAL,52532360,79093274940.53792,
2022,1,state,Maharashtra,1,TOTAL,1169506438,1681399273981.1611,
2022,1,state,Karnataka,2,TOTAL,1057855407,1566649488305.8838,
2022,1,state,Telangana,3,TOTAL,886453385,1670638169828.9993,
2022,1,state,Andhra Pradesh,4,TOTAL,582603911,1294320646554.8625,
2022,1,state,Rajasthan,5,TOTAL,564962220,1022050180980.1362,
2022,1,state,Uttar Pradesh,6,TOTAL,473953246,883123174117.0391,
2022,1,state,Madhya Pradesh,7,TOTAL,472703058,747665139599.6421,
2022,1,state,Delhi,8,TOTAL,330999861,536964920836.2892,
2022,1,state,Tamil Nadu,9,TOTAL,294573150,512789201600.616,
2022,1,state,Bihar,10,TOTAL,284390434,611411695731.1455,
2022,1,district,Bengaluru Urban,1,TOTAL,648380838,837938769153.0938,
2022,1,district,Pune,2,TOTAL,424149132,508475101454.5797,
2022,1,district,Hyderabad,3,TOTAL,372711414,661512502141.0775,
2022,1,district,Jaipur,4,TOTAL,262950613,434507898653.22876,
2022,1,district,Bhopal,5,TOTAL,159892411,221096758835.27948,
2022,1,district,Central Delhi,6,TOTAL,128309915,198072597274.588,
2022,1,district,Rangareddy,7,TOTAL,127675017,216609881380.40106,
2022,1,district,Medchal Malkajgiri,8,TOTAL,110893187,185168270983.38605,
2022,1,district,Mumbai Suburban,9,TOTAL,104595313,148080835860.6061,
2022,1,district,Khordha,10,TOTAL,104052705,152745328927.4852,
2022,1,pincode,500001,1,TOTAL,248675599,460948755722.1826,
2022,1,pincode,560001,2,TOTAL,224793308,308663371704.65454,
2022,1,pincode,411004,3,TOTAL,209101358,285005833904.6318,
2022,1,pincode,302016,4,TOTAL,148956604,248958961898.95383,
