year,quarter,level,region,type,count,amount
2022,4,state,Rajasthan,TOTAL,40926,60792838.0
2022,4,state,Ladakh,TOTAL,162,410091.0
2022,4,state,Punjab,TOTAL,12187,21727831.0
2022,4,state,Assam,TOTAL,18826,29239168.0
2022,4,state,Jharkhand,TOTAL,16779,23147805.0
2022,4,state,Odisha,TOTAL,24538,33565401.0
2022,4,state,Bihar,TOTAL,33895,43914519.0
2022,4,state,Kerala,TOTAL,65563,103982997.0
2022,4,state,Karnataka,TOTAL,133971,185063287.0
2022,4,state,Chandigarh,TOTAL,1403,2024528.0
2022,4,state,Telangana,TOTAL,64655,88544127.0
2022,4,state,Himachal Pradesh,TOTAL,4565,9060436.0
2022,4,state,West Bengal,TOTAL,54277,70466433.0
2022,4,state,Gujarat,TOTAL,36418,50629325.0
2022,4,state,Sikkim,TOTAL,306,667214.0
2022,4,state,Nagaland,TOTAL,367,700864.0
2022,4,state,Mizoram,TOTAL,350,612551.0
2022,4,state,Chhattisgarh,TOTAL,11994,18137856.0
2022,4,state,Jammu & Kashmir,TOTAL,5031,10111183.0
2022,4,state,Goa,TOTAL,4388,6190669.0
2022,4,state,Arunachal Pradesh,TOTAL,613,1464572.0
2022,4,state,Delhi,TOTAL,48908,60603173.0
2022,4,state,Uttarakhand,TOTAL,8750,13817747.0
2023,1,state,Puducherry,TOTAL,1955,2593091.0
2023,1,state,Tamil Nadu,TOTAL,90690,116710222.0
2023,1,state,Uttar Pradesh,TOTAL,73080,127110494.0
2023,1,state,Madhya Pradesh,TOTAL,26393,45135679.0
2023,1,state,Andhra Pradesh,TOTAL,34920,51963355.0
2023,1,state,Tripura,TOTAL,1642,2404958.0
2023,1,state,Lakshadweep,TOTAL,26,30199.0
2023,1,state,Manipur,TOTAL,222,632084.0
2023,1,state,Maharashtra,TOTAL,112174,166596248.0
2023,1,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,799,1215168.0
2023,1,state,Meghalaya,TOTAL,562,1187523.0
2023,1,state,Andaman & Nicobar Islands,TOTAL,1004,1439198.0
