year,quarter,entity_type,entity_name,rank,registered_users
2023,4,state,Madhya Pradesh,9,27078072
2023,4,state,Gujarat,10,26312655
2023,4,district,Bengaluru Urban,1,16895567
2023,4,district,Pune,2,11135186
2023,4,district,Thane,3,7044610
2023,4,district,Jaipur,4,6983265
2023,4,district,Mumbai Suburban,5,6796218
2023,4,district,Hyderabad,6,5720710
2023,4,district,Ahmadabad,7,5282400
2023,4,district,Rangareddy,8,4964411
2023,4,district,North Twenty Four Parganas,9,4396190
2023,4,district,Surat,10,4396038
2024,1,state,Maharashtra,1,68016876
2024,1,state,Uttar Pradesh,2,56028765
2024,1,state,Karnataka,3,43668141
2024,1,state,Andhra Pradesh,4,34008709
2024,1,state,Rajasthan,5,33505514
2024,1,state,West Bengal,6,31306843
2024,1,state,Telangana,7,31082447
2024,1,state,Tamil Nadu,8,30638750
2024,1,state,Madhya Pradesh,9,28238554
2024,1,state,Gujarat,10,27381972
2024,1,district,Bengaluru Urban,1,17506580
2024,1,district,Pune,2,11546171
2024,1,district,Thane,3,7314981
2024,1,district,Jaipur,4,7253881
2024,1,district,Mumbai Suburban,5,7055629
2024,1,district,Hyderabad,6,5928930
2024,1,district,Ahmadabad,7,5485010
2024,1,district,Rangareddy,8,5149421
2024,1,district,North Twenty Four Parganas,9,4570438
2024,1,district,Surat,10,4569769
2024,2,state,Maharashtra,1,70597223
2024,2,state,Uttar Pradesh,2,58199149
2024,2,state,Karnataka,3,45290606
2024,2,state,Andhra Pradesh,4,35303719
2024,2,state,Rajasthan,5,34773619
2024,2,state,West Bengal,6,32540397
2024,2,state,Telangana,7,32232171
2024,2,state,Tamil Nadu,8,31818880
2024,2,state,Madhya Pradesh,9,29324466
2024,2,state,Gujarat,10,28439885
2024,2,district,Bengaluru Urban,1,18127475
2024,2,district,Pune,2,11964579
2024,2,district,Thane,3,7591749
2024,2,district,Jaipur,4,7522194
2024,2,district,Mumbai Suburban,5,7325715
2024,2,district,Hyderabad,6,6138190
2024,2,district,Ahmadabad,7,5693015
2024,2,district,Rangareddy,8,5331711
2024,2,district,Surat,9,4747919
2024,2,district,North Twenty Four Parganas,10,4746814
2024,3,state,Maharashtra,1,69641161
2024,3,state,Uttar Pradesh,2,67922000
2024,3,state,Karnataka,3,44548391
2024,3,state,Rajasthan,4,35583171
2024,3,state,West Bengal,5,33612828
2024,3,state,Tamil Nadu,6,32965209
2024,3,state,Bihar,7,31899315
2024,3,state,Madhya Pradesh,8,31764084
2024,3,state,Telangana,9,30776242
2024,3,state,Andhra Pradesh,10,29145303
2024,3,district,Bengaluru Urban,1,17566351
2024,3,district,Pune,2,12392676
2024,3,district,Thane,3,7103828
2024,3,district,Mumbai Suburban,4,6688601
2024,3,district,Rangareddy,5,5769438
2024,3,district,Hyderabad,6,5757304
2024,3,district,Ahmedabad,7,5580316
2024,3,district,Chennai,8,5387490
2024,3,district,Jaipur,9,5219354
2024,3,district,Surat,10,4957655
2024,4,state,Maharashtra,1,71807805
2024,4,state,Uttar Pradesh,2,70474113
2024,4,state,Karnataka,3,45917653
2024,4,state,Rajasthan,4,36828375
2024,4,state,West Bengal,5,34750181
2024,4,state,Tamil Nadu,6,33966610
2024,4,state,Bihar,7,33345285
2024,4,state,Madhya Pradesh,8,32876660
2024,4,state,Telangana,9,31726856
2024,4,state,Andhra Pradesh,10,29984431
2024,4,district,Bengaluru Urban,1,18101416
2024,4,district,Pune,2,12734314
2024,4,district,Thane,3,7300941
2024,4,district,Mumbai Suburban,4,6875379
2024,4,district,Rangareddy,5,5988320
2024,4,district,Hyderabad,6,5916910
2024,4,district,Ahmedabad,7,5702922
2024,4,district,Chennai,8,5541760
2024,4,district,Jaipur,9,5371681
2024,4,district,North Twenty Four Parganas,10,5085095
